artist,n
Lil Wayne,17533562
Wiz Khalifa,13163802
Meek Mill,10243657
Fabolous,6880188
Gucci Mane,5810415
Mac Miller,5689353
Rick Ross,5361911
Tyga,4775565
French Montana,4710456
Young Jeezy,4585390
Kevin Gates,4414307
Future,4312140
Yo Gotti,4147563
Ace Hood,3824581
Curren$y,3793014
Big Sean,3457219
Drake,3162009
Chief Keef,3013054
Wale,2957164
Migos,2955912
Logic,2901443
Juicy J,2862580
Chance The Rapper,2794066
J Cole,2650329
The Weeknd,2613954
Jadakiss,2502566
50 Cent,2433466
Nipsey Hussle,2376421
Lil Durk,2241412
2 Chainz,2218517
Trey Songz,2005825
Rich Homie Quan,1992571
ASAP Rocky,1959089
Waka Flocka,1922456
Chris Brown,1900935
Kendrick Lamar,1882828
J. Cole,1874759
Childish Gambino,1661057
Big K.R.I.T.,1603723
Future & DJ Esco,1580360
Young Thug,1568355
Tory Lanez,1525093
B.o.B,1383449
Lloyd Banks,1373444
Kid Ink,1340105
Lil Uzi Vert,1247083
Kodak Black,1242400
French Montana & Coke Boys,1225817
Chris Webby,1171566
Ty Dolla Sign (Ty$),1074124
Game,1054218
Joey Bada$$,1049600
Kirko Bangz,1044469
Lil Bibby,959838
Wiz Khalifa & Curren$y,955341
Lil Herb,918477
YG,897478
Machine Gun Kelly,840070
Vado,806875
Future & FreeBand Gang,798870
Lecrae,798576
T.I.,793213
Los,781139
Juelz Santana,755594
Wyclef Jean,738567
Dom Kennedy,716441
Chris Brown & Tyga,702190
Plies,701386
Cassie,697335
Ludacris,683994
"Rich Gang (Young Thug, Birdman & Rich Homie Quan)",649954
Dizzy Wright,643073
Joe Budden,627814
Pusha T,627736
Young Dolph,612270
Tyler The Creator,603394
Gucci Mane & Future,601608
Curren$y & Styles P,599449
Jeremih,597106
Cassidy,588050
Hustle Gang,585133
Schoolboy Q,571840
KiD CuDi,561547
The Underachievers,548283
Chevy Woods,537023
Shy Glizzy,530887
Young Scooter,516532
Migos & Rich The Kid,505178
Yelawolf,497474
Lil Reese,491481
Boosie Bad Azz,491112
Trinidad James,485138
Lupe Fiasco,483771
Lil Boosie,472538
Chinx Drugz,464088
Ransom,455517
Blac Youngsta,452332
"Lil Wayne, Juelz Santana",448571
Post Malone,436441
Rockie Fresh,434579
K. Michelle,430689
Travi$ Scott,424880
Don Trip,421772
Waka Flocka Flame,415845
August Alsina,413906
King Los,411503
YG Feat. DJ Mustard,390321
Dave East,384910
French Montana & Waka Flocka,384223
Gunplay,381501
ASAP Ferg,381068
Gucci Mane & Young Thug,378433
Torch,376334
Casey Veggies,372161
Pusha-T,370481
CyHi The Prynce,368599
Ab-Soul,358383
Jhene Aiko,358081
Omarion,353991
Jim Jones,348196
Freddie Gibbs,346895
Young Buck,337383
Flatbush Zombies,336748
Cory Gunz,335790
BIG K.R.I.T.,333909
Fetty Wap,326606
Lil Snupe,324983
Red Cafe,320970
D-Pryde,315355
Flatbush ZOMBiES,314400
Fredo Santana,307727
K Camp,305193
Tity Boi,294551
Curren$y & Young Roddy,292832
Stalley,289110
French Montana & Fetty Wap,288749
Problem,288626
K. Camp,286373
"Wiz Khalifa, Mac Miller",283660
Styles P,282840
Cam'ron,282723
Kendrick Lamar & Jay Rock,281395
Papoose,279598
A$AP Mob,276921
Action Bronson,275934
Gudda Gudda,273588
Rocko,267962
Lil Yachty,263943
Juicy J & Lex Luger,262566
Birdman,261301
Chris Brown & OHB,258613
Fabolous & Trey Songz,256187
Snoop Dogg,249661
MMG,248619
"Kendrick Lamar, Jay Rock, Ab-Soul, Schoolboy Q, K. Dot",247511
Slaughterhouse,244493
Machine Gun Kelly (MGK),243927
Fred The Godson,239872
21 Savage,238037
Earl Sweatshirt,237814
Kevin Cossom,235246
Roscoe Dash,233624
A Boogie,231517
Jacquees,231343
"French Montana, Juicy J & Project Pat",226341
MoneyBagg Yo,225698
Danny Brown,224364
YFN Lucci,224244
Pro Era,220289
Dej Loaf,218494
Birdman & Rick Ross,215314
2 Pistols,212754
Asher Roth,211471
Curren$y & Harry Fraud,211192
Vic Mensa,210832
Cyhi The Prynce,210340
Action Bronson & The Alchemist,208970
DJ Esco & Future,208589
Gucci Mane & Young Scooter,207916
Taylor Gang,203428
Lil Uzi Vert X Gucci Mane,197139
G-Unit,196924
"Chris Brown, OHB X Section Boyz",190102
Nicki Minaj,189707
MoneyBagg Yo X Yo Gotti,187616
Sir Michael Rocks,187420
The Game,187095
Domo Genesis & The Alchemist,183119
Jacquees & DeJ Loaf,181176
D12,179913
Gucci Mane & Chief Keef,179130
NBA YoungBoy,177517
Tee Grizzley,177123
Kid Ink & Batgang,176825
Gucci Mane & Young Jeezy,173970
Chip Tha Ripper,170205
Twista,168172
"Jeezy, Doughboyz Cashout & YG",167160
Puff Daddy,166101
Chiddy Bang,165859
Curren$y & Alchemist,164263
"Trademark Da Skydiver, Young Roddy & Curren$y",163397
SwizZz & Hopsin,161679
Curren$y & Smoke DZA,160549
Huey Mack & Mike Stud,159481
Don Trip & Starlito,159255
Young Money,158649
Fat Trel,156869
Young Dro,156753
Gucci Mane & Young Dolph,155087
Soulja Boy,153458
Slim Thug,152702
Montana Of 300,152202
PeeWee Longway,149828
Harry Fraud,149553
Trae Tha Truth,149184
Juicy J & Project Pat,148270
Cardi B,147685
Wale & 9th Wonder,147525
Jay-Z,145992
Chinx,144065
Jaden Smith,143721
King Louie,143595
Tink,141559
Wale X A-Trak,140921
Raekwon,140820
Funkmaster Flex,138663
Berner,137486
Chip,135690
Akon,134106
Instrumentals,133374
Don Q,132463
Kanye West,132180
T-Pain,130995
A$AP Rocky,130553
Miguel,129255
Masspike Miles,128919
Remy Ma,128604
Gucci Mane & Migos,128243
NBA Youngboy,128226
Talib Kweli & Z-Trip,128164
Royce Da 5'9,127135
Lil Herb & Lil Bibby,126822
Fetty Wap X PNB Rock,126144
Memphis Bleek,126130
Busta Rhymes & Q-Tip,125810
Domo Genesis,123315
Mike Will Made It,122986
Vince Staples & Larry Fisherman,122827
Paul Wall,122743
Nas,122556
JAY PARK,122287
"Lil B ""The BasedGod""",121986
Yo Gotti & Zedzilla,121681
Shyne,121557
Mike Posner,121548
Diggy Simmons,121357
Young Jeezy & CTE,120881
Lil Wayne And Young Money,119580
Caskey,119158
Drake & The Weeknd,118699
Kid Cudi,117545
DRAKE,117380
Maino & Uncle Murda,116826
Chance The Rapper & Jeremih,116486
Cyhi Da Prynce,115990
Isaiah Rashad,115708
Travis Porter,115151
Nipsey Hussle X Bino Rideaux,115028
Boosie Badazz,113881
Mila J,113517
Rich The Kid,113517
Casey Veggies & Rockie Fresh,113434
Yelawolf & DJ Paul,113411
King Lil G,112084
Iggy Azalea,112006
Jay-Z & 9th Wonder,111247
T-Pain & Lil Wayne,110661
PARTYNEXTDOOR,110343
Hell Rell,109446
Yung Berg,108866
The Cool Kids,107508
The Lox,107050
Mark Battles,104777
The Neighbourhood,104613
XV,104097
Jay Electronica,103635
Ar-Ab,102672
Bow Wow,102273
Pretty Ricky,102150
Vince Staples,101956
"2 Chainz, Cap 1, Skooly & Short Dawg",101943
Curren$y & Jet Life,101102
The Furnace,100865
Tech N9ne,100440
Nelly,100257
O.T. Genasis,100113
