artist,title,downloads
Meek Mill,Dreamchasers 2,4826734
Lil Wayne,Sorry 4 The Wait,3146921
Wiz Khalifa,Taylor Allderdice,2455854
Big Sean,Detroit,2426401
Lil Wayne,Dedication 4,2396096
Rick Ross,Rich Forever,2176866
Wiz Khalifa,Cabin Fever 2,1959087
ASAP Rocky,LiveLoveA$ap,1958533
Jadakiss,Consignment,1903680
Wiz Khalifa,Kush & OJ,1900766
Lil Wayne,No Ceilings,1854900
Lil Wayne,Dedication 5,1736313
Chance The Rapper,Acid Rap,1659929
Drake,So Far Gone ,1613777
Wiz Khalifa,Cabin Fever,1549544
Meek Mill,Dreamchasers 3,1545895
French Montana,Mac & Cheese 3 ,1536431
J Cole,Friday Night Lights,1409829
Meek Mill,Dreamchasers,1408937
Wiz Khalifa,28 Grams,1374892
Mac Miller,Macadelic,1365072
Rick Ross,The Black Bar Mitzvah,1333801
Fabolous,The Soul Tape 2,1300993
Future,Purple Reign,1280876
Lil Wayne,Sorry 4 The Wait 2,1259391
Wale,Folarin,1247521
Tyga,Well Done 3,1213941
Mac Miller,Best Day Ever,1190278
Kevin Gates,Luca Brasi 2,1156537
Mac Miller,K.I.D.S,1149484
Rich Homie Quan,I Promise I Will Never Stop Going In,1119505
Fabolous,There Is No Competition: Death Comes In 3's,1101757
Young Jeezy,Its Tha World,1051256
Waka Flocka,Salute Me Or Shoot Me 4: Banned From America,1046999
The Weeknd,House Of Balloons,1044852
Kendrick Lamar,O.verly D.edicated,1015504
Kevin Gates,By Any Means,1015052
Fabolous,Summertime Shootout ,1014708
Yo Gotti,CM7: The World Is Yours,1008448
2 Chainz,T.R.U. REALigion,982737
Fabolous,The Soul Tape,981204
Wiz Khalifa & Curren$y,How Fly,955042
Gucci Mane,Trap God,950472
Logic,Young Sinatra: Welcome To Forever,948937
Fabolous,The Soul Tape 3,928899
Migos,No Label 2,895843
French Montana,Coke Boys 4,893604
Lil Wayne,The Dedication 2,886444
French Montana & Coke Boys,Coke Boys 3,880757
Logic,Young Sinatra: Undeniable ,876846
Lil Wayne,No Ceilings 2,873285
Young Jeezy,The Real Is Back,865640
Drake,Comeback Season,852860
The Weeknd,Echoes Of Silence,837095
Chief Keef,Back From The Dead,832073
Wiz Khalifa,Burn After Rolling,827516
Tyga,#BitchImTheShit,825839
Joey Bada$$,1999,811786
Future & FreeBand Gang,Future Presents F.B.G: The Movie,798517
Future & DJ Esco,Project E.T.,792108
Gucci Mane,Trap Back,788536
Future & DJ Esco,56 Nights,787306
Childish Gambino,Royalty,783756
Tyga,Well Done 2,773464
Wiz Khalifa,Flight School,765867
Juelz Santana,God Will'n,755504
Young Thug,Slime Season,749072
Ace Hood,Starvation 2,748417
Wyclef Jean,April Showers,738543
The Weeknd,Thursday,731685
Future,Monster,726540
50 Cent,The Lost Tape,717113
Gucci Mane,I'm Up,709797
Lil Wayne,Dedication 3,708411
Logic,Young Sinatra,706655
Chris Brown & Tyga,Fan Of A Fan,702076
Lil Wayne,Dedication 6,700955
J. Cole,The Warm Up,698714
Cassie,RockaByeBaby,697318
Future,Astronaut Status,694638
Big Sean,Finally Famous 3,686510
J Cole,Truly Yours 2,683445
Juicy J,Blue Dream & Lean,676482
50 Cent,The Kanan Tape,675698
French Montana,Casino Life 2: Brown Bag Legend ,671759
Nipsey Hussle,Crenshaw,656043
Lil Durk,Signed To The Streets 2,654182
J. Cole,Truly Yours,649729
"Rich Gang (Young Thug, Birdman & Rich Homie Quan)",Rich Gang: Tha Tour Pt 1,649590
Lil Durk,Signed To The Streets,644705
Future,Beast Mode,638162
Fabolous,Summertime Shootout 2,636767
Young Thug,Slime Season 2,635045
Curren$y,New Jet City,631462
Gucci Mane,Trap God 2,627766
Pusha T,Wrath Of Caine,627661
Lil Wayne,Da Drought 3 - Disc 1,613484
YG,Just Re'd Up 2,612351
Wale,More About Nothing,612219
Meek Mill,Mr Philadelphia,609487
Tyler The Creator,Bastard,603281
Curren$y & Styles P,#The1st28,599416
Rick Ross,Ashes To Ashes,593628
Tyga,Well Done,593356
B.o.B,Fuck Em We Ball,577383
Lecrae,Church Clothes,572294
Chance The Rapper,Coloring Book,570726
Ace Hood,Starvation 3,569370
Chance The Rapper,10 Day,562199
KiD CuDi,A Kid Named Cudi,561401
T.I.,F*ck Da City Up,553605
Kodak Black,Lil B.I.G. Pac,550756
Chris Brown,Boy In Detention,550671
Rick Ross,Black Dollar,548829
Mac Miller,The High Life,543718
Mac Miller,The High Life,543716
