artist,title,downloads,link,scrape_time
Meek Mill,Dreamchasers 2,4827407,/Meek-Mill-Dreamchasers-2-mixtape.339288.html,15-09-18
Lil Wayne,Sorry 4 The Wait,3147658,/Lil-Wayne-Sorry-4-The-Wait-mixtape.250654.html,15-09-18
Wiz Khalifa,Taylor Allderdice,2456413,/Wiz-Khalifa-Taylor-Allderdice-mixtape.324466.html,15-09-18
Big Sean,Detroit,2426822,/Big-Sean-Detroit-mixtape.390127.html,15-09-18
Lil Wayne,Dedication 4,2396618,/Lil-Wayne-Dedication-4-mixtape.385544.html,15-09-18
Rick Ross,Rich Forever,2177336,/Rick-Ross-Rich-Forever-mixtape.296828.html,15-09-18
ASAP Rocky,LiveLoveA$ap,1959089,/ASAP-Rocky-LiveLoveAap-mixtape.278798.html,15-09-18
Wiz Khalifa,Cabin Fever 2,1959087,/Wiz-Khalifa-Cabin-Fever-2-mixtape.406664.html,15-09-18
Jadakiss,Consignment,1903881,/Jadakiss-Consignment-mixtape.340926.html,15-09-18
Wiz Khalifa,Kush & OJ,1900766,/Wiz-Khalifa-Kush-OJ-mixtape.112367.html,15-09-18
Lil Wayne,No Ceilings,1855662,/Lil-Wayne-No-Ceilings-mixtape.75250.html,15-09-18
Lil Wayne,Dedication 5,1737006,/Lil-Wayne-Dedication-5-mixtape.525016.html,15-09-18
Chance The Rapper,Acid Rap,1660700,/Chance-The-Rapper-Acid-Rap-mixtape.483826.html,15-09-18
Drake,So Far Gone ,1613823,/Drake-So-Far-Gone-mixtape.34130.html,15-09-18
Wiz Khalifa,Cabin Fever,1549951,/Wiz-Khalifa-Cabin-Fever-mixtape.200862.html,15-09-18
Meek Mill,Dreamchasers 3,1546419,/Meek-Mill-Dreamchasers-3-mixtape.439835.html,15-09-18
French Montana,Mac & Cheese 3 ,1536619,/French-Montana-Mac-Cheese-3-mixtape.392996.html,15-09-18
J Cole,Friday Night Lights,1410384,/J-Cole-Friday-Night-Lights-mixtape.168650.html,15-09-18
Meek Mill,Dreamchasers,1409318,/Meek-Mill-Dreamchasers-mixtape.256292.html,15-09-18
Wiz Khalifa,28 Grams,1375180,/Wiz-Khalifa-28-Grams-mixtape.613330.html,15-09-18
Mac Miller,Macadelic,1367539,/Mac-Miller-Macadelic-mixtape.327035.html,15-09-18
Rick Ross,The Black Bar Mitzvah,1333951,/Rick-Ross-The-Black-Bar-Mitzvah-mixtape.402975.html,15-09-18
Fabolous,The Soul Tape 2,1301478,/Fabolous-The-Soul-Tape-2-mixtape.409614.html,15-09-18
Future,Purple Reign,1281554,/Future-Purple-Reign-mixtape.760632.html,15-09-18
Lil Wayne,Sorry 4 The Wait 2,1260236,/Lil-Wayne-Sorry-4-The-Wait-2-mixtape.681236.html,15-09-18
Wale,Folarin,1247704,/Wale-Folarin-mixtape.433113.html,15-09-18
Tyga,Well Done 3,1214073,/Tyga-Well-Done-3-mixtape.372259.html,15-09-18
Mac Miller,Best Day Ever,1192876,/Mac-Miller-Best-Day-Ever-mixtape.207667.html,15-09-18
Kevin Gates,Luca Brasi 2,1157389,/Kevin-Gates-Luca-Brasi-2-mixtape.666402.html,15-09-18
Mac Miller,K.I.D.S,1153434,/Mac-Miller-KIDS-mixtape.143884.html,15-09-18
Rich Homie Quan,I Promise I Will Never Stop Going In,1119807,/Rich-Homie-Quan-I-Promise-I-Will-Never-Stop-Going-In-mixtape.553953.html,15-09-18
Fabolous,There Is No Competition: Death Comes In 3's,1102009,/Fabolous-There-Is-No-Competition-Death-Comes-In-3s-mixtape.291573.html,15-09-18
Young Jeezy,Its Tha World,1051524,/Young-Jeezy-Its-Tha-World-mixtape.425097.html,15-09-18
Waka Flocka,Salute Me Or Shoot Me 4: Banned From America,1047006,/Waka-Flocka-Salute-Me-Or-Shoot-Me-4-Banned-From-America-mixtape.378720.html,15-09-18
The Weeknd,House Of Balloons,1044976,/The-Weeknd-House-Of-Balloons-mixtape.211140.html,15-09-18
Kevin Gates,By Any Means,1015826,/Kevin-Gates-By-Any-Means-mixtape.585535.html,15-09-18
Kendrick Lamar,O.verly D.edicated,1015678,/Kendrick-Lamar-Overly-Dedicated-mixtape.152921.html,15-09-18
Fabolous,Summertime Shootout ,1015215,/Fabolous-Summertime-Shootout-mixtape.745726.html,15-09-18
Yo Gotti,CM7: The World Is Yours,1008677,/Yo-Gotti-CM7-The-World-Is-Yours-mixtape.405210.html,15-09-18
2 Chainz,T.R.U. REALigion,982926,/2-Chainz-TRU-REALigion-mixtape.265920.html,15-09-18
Fabolous,The Soul Tape,981541,/Fabolous-The-Soul-Tape-mixtape.220063.html,15-09-18
Wiz Khalifa & Curren$y,How Fly,955341,/Wiz-Khalifa-Curreny-How-Fly-mixtape.60260.html,15-09-18
Gucci Mane,Trap God,950694,/Gucci-Mane-Trap-God-mixtape.391802.html,15-09-18
Logic,Young Sinatra: Welcome To Forever,949501,/Logic-Young-Sinatra-Welcome-To-Forever-mixtape.483644.html,15-09-18
Fabolous,The Soul Tape 3,929305,/Fabolous-The-Soul-Tape-3-mixtape.558951.html,15-09-18
Migos,No Label 2,896098,/Migos-No-Label-2-mixtape.579522.html,15-09-18
French Montana,Coke Boys 4,893731,/French-Montana-Coke-Boys-4-mixtape.561624.html,15-09-18
Lil Wayne,The Dedication 2,886844,/Lil-Wayne-The-Dedication-2-mixtape.799.html,15-09-18
