artist,title,downloads,link,scrape_time
Meek Mill,Dreamchasers 2,4827448,/Meek-Mill-Dreamchasers-2-mixtape.339288.html,16-09-18
Lil Wayne,Sorry 4 The Wait,3147714,/Lil-Wayne-Sorry-4-The-Wait-mixtape.250654.html,16-09-18
Wiz Khalifa,Taylor Allderdice,2456447,/Wiz-Khalifa-Taylor-Allderdice-mixtape.324466.html,16-09-18
Big Sean,Detroit,2426843,/Big-Sean-Detroit-mixtape.390127.html,16-09-18
Lil Wayne,Dedication 4,2396662,/Lil-Wayne-Dedication-4-mixtape.385544.html,16-09-18
Rick Ross,Rich Forever,2177368,/Rick-Ross-Rich-Forever-mixtape.296828.html,16-09-18
ASAP Rocky,LiveLoveA$ap,1959126,/ASAP-Rocky-LiveLoveAap-mixtape.278798.html,16-09-18
Wiz Khalifa,Cabin Fever 2,1959087,/Wiz-Khalifa-Cabin-Fever-2-mixtape.406664.html,16-09-18
Jadakiss,Consignment,1903900,/Jadakiss-Consignment-mixtape.340926.html,16-09-18
Wiz Khalifa,Kush & OJ,1900766,/Wiz-Khalifa-Kush-OJ-mixtape.112367.html,16-09-18
Lil Wayne,No Ceilings,1855717,/Lil-Wayne-No-Ceilings-mixtape.75250.html,16-09-18
Lil Wayne,Dedication 5,1737057,/Lil-Wayne-Dedication-5-mixtape.525016.html,16-09-18
Chance The Rapper,Acid Rap,1660745,/Chance-The-Rapper-Acid-Rap-mixtape.483826.html,16-09-18
Drake,So Far Gone ,1613828,/Drake-So-Far-Gone-mixtape.34130.html,16-09-18
Wiz Khalifa,Cabin Fever,1549983,/Wiz-Khalifa-Cabin-Fever-mixtape.200862.html,16-09-18
Meek Mill,Dreamchasers 3,1546457,/Meek-Mill-Dreamchasers-3-mixtape.439835.html,16-09-18
French Montana,Mac & Cheese 3 ,1536631,/French-Montana-Mac-Cheese-3-mixtape.392996.html,16-09-18
J Cole,Friday Night Lights,1410415,/J-Cole-Friday-Night-Lights-mixtape.168650.html,16-09-18
Meek Mill,Dreamchasers,1409350,/Meek-Mill-Dreamchasers-mixtape.256292.html,16-09-18
Wiz Khalifa,28 Grams,1375197,/Wiz-Khalifa-28-Grams-mixtape.613330.html,16-09-18
Mac Miller,Macadelic,1367666,/Mac-Miller-Macadelic-mixtape.327035.html,16-09-18
Rick Ross,The Black Bar Mitzvah,1333959,/Rick-Ross-The-Black-Bar-Mitzvah-mixtape.402975.html,16-09-18
Fabolous,The Soul Tape 2,1301505,/Fabolous-The-Soul-Tape-2-mixtape.409614.html,16-09-18
Future,Purple Reign,1281596,/Future-Purple-Reign-mixtape.760632.html,16-09-18
Lil Wayne,Sorry 4 The Wait 2,1260286,/Lil-Wayne-Sorry-4-The-Wait-2-mixtape.681236.html,16-09-18
Wale,Folarin,1247712,/Wale-Folarin-mixtape.433113.html,16-09-18
Tyga,Well Done 3,1214081,/Tyga-Well-Done-3-mixtape.372259.html,16-09-18
Mac Miller,Best Day Ever,1193010,/Mac-Miller-Best-Day-Ever-mixtape.207667.html,16-09-18
Kevin Gates,Luca Brasi 2,1157459,/Kevin-Gates-Luca-Brasi-2-mixtape.666402.html,16-09-18
Mac Miller,K.I.D.S,1153655,/Mac-Miller-KIDS-mixtape.143884.html,16-09-18
Rich Homie Quan,I Promise I Will Never Stop Going In,1119828,/Rich-Homie-Quan-I-Promise-I-Will-Never-Stop-Going-In-mixtape.553953.html,16-09-18
Fabolous,There Is No Competition: Death Comes In 3's,1102024,/Fabolous-There-Is-No-Competition-Death-Comes-In-3s-mixtape.291573.html,16-09-18
Young Jeezy,Its Tha World,1051553,/Young-Jeezy-Its-Tha-World-mixtape.425097.html,16-09-18
Waka Flocka,Salute Me Or Shoot Me 4: Banned From America,1047006,/Waka-Flocka-Salute-Me-Or-Shoot-Me-4-Banned-From-America-mixtape.378720.html,16-09-18
The Weeknd,House Of Balloons,1044980,/The-Weeknd-House-Of-Balloons-mixtape.211140.html,16-09-18
Kevin Gates,By Any Means,1015877,/Kevin-Gates-By-Any-Means-mixtape.585535.html,16-09-18
Kendrick Lamar,O.verly D.edicated,1015692,/Kendrick-Lamar-Overly-Dedicated-mixtape.152921.html,16-09-18
Fabolous,Summertime Shootout ,1015258,/Fabolous-Summertime-Shootout-mixtape.745726.html,16-09-18
Yo Gotti,CM7: The World Is Yours,1008695,/Yo-Gotti-CM7-The-World-Is-Yours-mixtape.405210.html,16-09-18
2 Chainz,T.R.U. REALigion,982937,/2-Chainz-TRU-REALigion-mixtape.265920.html,16-09-18
Fabolous,The Soul Tape,981562,/Fabolous-The-Soul-Tape-mixtape.220063.html,16-09-18
Wiz Khalifa & Curren$y,How Fly,955368,/Wiz-Khalifa-Curreny-How-Fly-mixtape.60260.html,16-09-18
Gucci Mane,Trap God,950712,/Gucci-Mane-Trap-God-mixtape.391802.html,16-09-18
Logic,Young Sinatra: Welcome To Forever,949538,/Logic-Young-Sinatra-Welcome-To-Forever-mixtape.483644.html,16-09-18
Fabolous,The Soul Tape 3,929335,/Fabolous-The-Soul-Tape-3-mixtape.558951.html,16-09-18
Migos,No Label 2,896122,/Migos-No-Label-2-mixtape.579522.html,16-09-18
French Montana,Coke Boys 4,893736,/French-Montana-Coke-Boys-4-mixtape.561624.html,16-09-18
Lil Wayne,The Dedication 2,886874,/Lil-Wayne-The-Dedication-2-mixtape.799.html,16-09-18
French Montana & Coke Boys,Coke Boys 3,880841,/French-Montana-Coke-Boys-Coke-Boys-3-mixtape.323050.html,16-09-18
Logic,Young Sinatra: Undeniable ,877358,/Logic-Young-Sinatra-Undeniable-mixtape.346367.html,16-09-18
Lil Wayne,No Ceilings 2,873843,/Lil-Wayne-No-Ceilings-2-mixtape.744493.html,16-09-18
Young Jeezy,The Real Is Back,865908,/Young-Jeezy-The-Real-Is-Back-mixtape.234092.html,16-09-18
Drake,Comeback Season,853175,/Drake-Comeback-Season-mixtape.111435.html,16-09-18
The Weeknd,Echoes Of Silence,837203,/The-Weeknd-Echoes-Of-Silence-mixtape.296051.html,16-09-18
Chief Keef,Back From The Dead,832205,/Chief-Keef-Back-From-The-Dead-mixtape.324584.html,16-09-18
Wiz Khalifa,Burn After Rolling,827724,/Wiz-Khalifa-Burn-After-Rolling-mixtape.75430.html,16-09-18
Tyga,#BitchImTheShit,825878,/Tyga-BitchImTheShit-mixtape.290715.html,16-09-18
Joey Bada$$,1999,811907,/Joey-Bada-1999-mixtape.361792.html,16-09-18
Future & FreeBand Gang,Future Presents F.B.G: The Movie,798898,/Future-FreeBand-Gang-Future-Presents-FBG-The-Movie-mixtape.431423.html,16-09-18
Future & DJ Esco,Project E.T.,792589,/Future-DJ-Esco-Project-ET-mixtape.790706.html,16-09-18
Gucci Mane,Trap Back,788716,/Gucci-Mane-Trap-Back-mixtape.305854.html,16-09-18
Future & DJ Esco,56 Nights,787831,/Future-DJ-Esco-56-Nights-mixtape.695558.html,16-09-18
Childish Gambino,Royalty,783913,/Childish-Gambino-Royalty-mixtape.369224.html,16-09-18
Tyga,Well Done 2,773526,/Tyga-Well-Done-2-mixtape.252451.html,16-09-18
Wiz Khalifa,Flight School,766026,/Wiz-Khalifa-Flight-School-mixtape.42357.html,16-09-18
Juelz Santana,God Will'n,755599,/Juelz-Santana-God-Willn-mixtape.433174.html,16-09-18
Young Thug,Slime Season,749546,/Young-Thug-Slime-Season-mixtape.718112.html,16-09-18
Ace Hood,Starvation 2,748467,/Ace-Hood-Starvation-2-mixtape.435722.html,16-09-18
